Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,1,1,0,0
Mar 17,1,1,0,0
Mar 18,2,2,0,0
Mar 19,2,2,0,0
Mar 20,2,2,0,0
Mar 21,2,2,0,0
Mar 22,2,2,0,0
Mar 23,6,6,0,0
Mar 24,6,6,0,0
Mar 25,6,6,0,0
Mar 26,6,6,0,0
Mar 27,6,6,0,0
Mar 28,6,6,0,0
Mar 29,6,6,0,0
Mar 30,6,6,0,0
Mar 31,9,8,0,1
Apr 01,13,12,0,1
Apr 02,13,12,0,1
Apr 03,16,14,0,2
Apr 04,16,14,0,2
Apr 05,22,17,0,5
Apr 06,26,20,1,6
Apr 07,26,20,1,6
Apr 08,26,20,1,6
Apr 09,26,20,1,6
Apr 10,35,29,1,6
Apr 11,35,29,1,6
Apr 12,35,29,1,6
Apr 13,35,29,1,6
Apr 14,35,16,1,19
Apr 15,35,16,1,19
Apr 16,35,16,1,19
Apr 17,35,16,1,19
Apr 18,35,16,1,19
Apr 19,35,16,1,19
Apr 20,54,26,1,28
Apr 21,54,26,1,28
Apr 22,54,26,1,28
Apr 23,54,26,1,28
Apr 24,54,26,1,28
Apr 25,54,26,1,28
Apr 26,64,30,1,34
Apr 27,64,30,1,34
Apr 28,64,30,1,34
Apr 29,64,30,1,34
Apr 30,64,30,1,34
May 01,90,46,2,44
May 02,90,46,2,44
May 03,90,46,2,44
May 04,96,44,2,52
May 05,96,44,2,52
May 06,96,44,2,52
May 07,140,85,2,55
May 08,242,178,2,64
May 09,284,220,2,64
May 10,319,255,2,64
May 11,319,255,2,64
May 12,327,249,2,78
May 13,327,242,2,85
May 14,339,254,2,85
May 15,339,254,2,85
May 16,339,254,2,85
May 17,339,254,2,85
May 18,339,254,2,85
May 19,130,45,2,85
May 20,130,45,2,85
May 21,135,71,3,64
May 22,135,71,3,64
May 23,135,71,3,64
May 24,191,106,3,85
May 25,191,104,3,87
May 26,208,87,3,121
May 27,210,73,3,137
May 28,210,73,3,137
May 29,224,85,3,139
May 30,224,85,3,139
May 31,232,86,3,146
Jun 01,243,93,3,150
Jun 02,244,93,3,151
Jun 03,244,93,3,151
Jun 04,261,107,3,154
Jun 05,261,107,3,154
Jun 06,261,107,3,154
Jun 07,261,107,3,154
Jun 08,288,98,4,190
Jun 09,305,113,4,192
Jun 10,305,113,4,192
Jun 11,305,113,4,192
Jun 12,388,166,5,222
Jun 13,412,184,6,228
Jun 14,442,208,6,234
Jun 15,483,242,9,241
Jun 16,532,287,9,245
Jun 17,572,326,9,246
Jun 18,597,348,11,249
Jun 19,650,392,11,258
Jun 20,650,392,11,258
Jun 21,765,499,13,266
Jun 22,807,541,13,266
Jun 23,850,565,13,285
Jun 24,902,612,13,290
Jun 25,1017,715,14,302
Jun 26,1053,747,14,306
Jun 27,1124,815,14,309
Jun 28,1149,827,16,322
Jun 29,1187,845,19,342
Jun 30,1199,845,21,354
Jul 01,1199,845,21,354
Jul 02,1199,845,21,354
Jul 03,1199,845,21,354
Jul 04,1199,845,21,354
Jul 05,1199,845,21,354
Jul 06,1199,845,21,354
Jul 07,1199,845,21,354
Jul 08,1199,845,21,354
Jul 09,1199,845,21,354
Jul 10,1285,929,23,356
Jul 11,1378,795,26,583
Jul 12,1378,795,26,583
Jul 13,1378,795,26,583
Jul 14,1378,795,26,583
Jul 15,1378,795,26,583
Jul 16,1463,878,28,585
Jul 17,1602,789,31,813
Jul 18,1602,789,31,813
Jul 19,1602,789,31,813
Jul 20,1602,789,31,813
Jul 21,1602,789,31,813
Jul 22,1690,874,34,816
Jul 23,1694,742,34,952
Jul 24,1694,742,34,952
Jul 25,1694,742,34,952
Jul 26,1770,699,35,1071
Jul 27,1770,699,35,1071
Jul 28,1770,699,35,1071
Jul 29,1805,733,36,1072
Jul 30,1805,733,36,1072
Jul 31,1805,733,36,1072
Aug 01,1805,733,36,1072
Aug 02,1805,733,36,1072
Aug 03,1805,733,36,1072
Aug 04,1914,840,38,1074
Aug 05,1936,298,38,1638
Aug 06,1936,298,38,1638
Aug 07,1936,298,38,1638
Aug 08,1936,298,38,1638
Aug 09,1936,298,38,1638
Aug 10,1936,298,38,1638
Aug 11,2001,282,38,1719
Aug 12,2014,295,38,1719
Aug 13,2014,295,38,1719
Aug 14,2014,295,38,1719
Aug 15,2063,334,39,1729
Aug 16,2063,334,39,1729
Aug 17,2063,334,39,1729
Aug 18,2063,334,39,1729
Aug 19,2095,366,39,1729
Aug 20,2095,351,39,1744
