Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,2,0,0,2
Feb 16,2,0,0,2
Feb 17,2,0,0,2
Feb 18,2,0,0,2
Feb 19,2,0,0,2
Feb 20,2,0,0,2
Feb 21,2,0,0,2
Feb 22,2,0,0,2
Feb 23,2,0,0,2
Feb 24,2,0,0,2
Feb 25,2,0,0,2
Feb 26,2,0,0,2
Feb 27,2,0,0,2
Feb 28,2,0,0,2
Feb 29,2,0,0,2
Mar 01,2,0,0,2
Mar 02,3,1,0,2
Mar 03,3,1,0,2
Mar 04,3,1,0,2
Mar 05,7,5,0,2
Mar 06,13,11,0,2
Mar 07,14,11,0,3
Mar 08,17,14,0,3
Mar 09,20,17,0,3
Mar 10,20,17,0,3
Mar 11,28,25,0,3
Mar 12,34,31,0,3
Mar 13,45,37,0,8
Mar 14,59,51,0,8
Mar 15,63,55,0,8
Mar 16,93,85,0,8
Mar 17,114,106,0,8
Mar 18,147,139,0,8
Mar 19,199,190,1,9
Mar 20,253,240,1,13
Mar 21,306,289,1,17
Mar 22,367,350,1,17
Mar 23,438,420,1,18
Mar 24,495,472,1,23
Mar 25,658,626,3,32
Mar 26,840,799,3,41
Mar 27,1036,987,4,49
Mar 28,1264,1211,4,53
Mar 29,1534,1462,8,72
Mar 30,1836,1761,9,75
Mar 31,2337,2199,17,138
Apr 01,2777,2563,24,214
Apr 02,3548,3283,30,265
Apr 03,4149,3834,34,315
Apr 04,4731,4355,43,376
Apr 05,5389,4989,45,400
Apr 06,6343,5890,47,453
Apr 07,7497,6945,58,552
Apr 08,8672,8029,63,643
Apr 09,10131,9357,76,774
Apr 10,11917,11028,94,889
Apr 11,13584,12433,106,1151
Apr 12,15770,14349,130,1421
Apr 13,18328,16710,148,1618
Apr 14,21102,19238,170,1864
Apr 15,24490,22306,198,2184
Apr 16,27938,25402,232,2536
Apr 17,32008,29145,273,2863
Apr 18,36793,33423,313,3370
Apr 19,42853,39201,361,3652
Apr 20,47121,43270,405,3851
Apr 21,52763,48434,456,4329
Apr 22,57999,53066,513,4933
Apr 23,62773,57327,555,5446
Apr 24,68622,62439,615,6183
Apr 25,74588,67657,681,6931
Apr 26,80949,73435,747,7514
Apr 27,87147,79007,794,8140
Apr 28,93558,84235,867,9323
Apr 29,99399,88141,972,11258
Apr 30,106498,93806,1073,12692
May 01,114431,100042,1169,14389
May 02,124054,107819,1222,16235
May 03,134687,116768,1280,17919
May 04,145268,125817,1356,19451
May 05,155370,134054,1451,21316
May 06,165929,143065,1537,22864
May 07,177160,151732,1625,25428
May 08,187859,159528,1723,28331
May 09,198676,164933,1827,33743
May 10,209688,173467,1915,36221
May 11,221344,179534,2009,41810
May 12,232243,186615,2116,45628
May 13,242271,192056,2212,50215
May 14,252245,196410,2305,55835
May 15,262843,202199,2418,60644
May 16,272043,206340,2537,65703
May 17,281752,211748,2631,70004
May 18,290678,217747,2722,72931
May 19,299941,220974,2837,78967
May 20,308705,220341,2972,88364
May 21,317554,221774,3099,95780
May 22,326448,223374,3249,103074
May 23,335882,224558,3388,111324
May 24,344481,227641,3541,116840
May 25,353427,230996,3633,122431
May 26,362342,227406,3807,134936
May 27,370680,224504,3968,146176
