Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,1,1,0,0
Feb 29,3,3,0,0
Mar 01,3,3,0,0
Mar 02,3,3,0,0
Mar 03,3,3,0,0
Mar 04,3,3,0,0
Mar 05,6,6,0,0
Mar 06,9,9,0,0
Mar 07,9,9,0,0
Mar 08,9,9,0,0
Mar 09,9,9,0,0
Mar 10,11,11,0,0
Mar 11,11,8,0,3
Mar 12,15,11,1,4
Mar 13,15,11,1,4
Mar 14,19,12,1,7
Mar 15,23,16,1,7
Mar 16,25,18,1,7
Mar 17,34,27,1,7
Mar 18,34,26,1,8
Mar 19,44,36,1,8
Mar 20,44,36,1,8
Mar 21,53,41,1,12
Mar 22,65,53,1,12
Mar 23,72,61,1,11
Mar 24,87,76,1,11
Mar 25,93,81,2,12
Mar 26,122,104,3,18
Mar 27,165,147,3,18
Mar 28,182,163,4,19
Mar 29,209,190,4,19
Mar 30,273,243,4,30
Mar 31,298,267,5,31
Apr 01,359,328,5,31
Apr 02,400,369,5,31
Apr 03,443,406,5,37
Apr 04,521,484,5,37
Apr 05,584,545,7,39
Apr 06,641,590,7,51
Apr 07,717,665,8,52
Apr 08,822,751,8,71
Apr 09,926,816,9,110
Apr 10,991,822,10,169
Apr 11,1058,847,11,211
Apr 12,1098,837,11,261
Apr 13,1148,847,12,301
Apr 14,1197,833,13,364
Apr 15,1253,836,13,417
Apr 16,1283,808,15,475
Apr 17,1340,797,15,543
Apr 18,1373,765,18,608
Apr 19,1398,667,19,731
Apr 20,1436,626,19,810
Apr 21,1480,595,20,885
Apr 22,1518,591,20,927
Apr 23,1548,580,20,968
Apr 24,1592,558,21,1034
Apr 25,1617,516,21,1101
Apr 26,1645,485,21,1160
Apr 27,1678,494,22,1184
Apr 28,1717,474,22,1243
Apr 29,1766,476,23,1290
Apr 30,1804,455,24,1349
May 01,1854,464,25,1390
May 02,1894,458,25,1436
May 03,1932,466,25,1466
May 04,1984,478,26,1506
May 05,2060,526,26,1534
May 06,2127,563,28,1564
May 07,2204,625,28,1579
May 08,2279,675,28,1604
May 09,2422,771,31,1651
May 10,2519,837,32,1682
May 11,2589,877,32,1712
May 12,2693,980,33,1713
May 13,2758,934,35,1824
May 14,2879,1011,35,1868
May 15,2980,1058,36,1922
May 16,3138,1158,36,1980
May 17,3274,1220,39,2054
May 18,3387,1292,40,2095
May 19,3518,1279,41,2239
May 20,3631,1335,43,2296
May 21,3749,1365,44,2384
May 22,3855,1410,46,2445
May 23,3982,1427,49,2555
May 24,4122,1466,49,2656
May 25,4271,1479,51,2792
May 26,4403,1532,52,2871
May 27,4568,1617,54,2951
