Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,3,3,0,0
Mar 12,3,3,0,0
Mar 13,4,4,0,0
Mar 14,4,4,0,0
Mar 15,4,4,0,0
Mar 16,4,4,0,0
Mar 17,7,7,0,0
Mar 18,10,9,1,1
Mar 19,11,10,1,1
Mar 20,21,20,1,1
Mar 21,21,20,1,1
Mar 22,35,34,1,1
Mar 23,40,39,1,1
Mar 24,48,46,1,2
Mar 25,57,55,1,2
Mar 26,67,64,2,3
Mar 27,80,74,2,6
Mar 28,119,112,3,7
Mar 29,139,132,3,7
Mar 30,170,162,4,8
Mar 31,186,172,6,14
Apr 01,212,194,6,18
Apr 02,233,214,6,19
Apr 03,269,248,6,21
Apr 04,288,267,6,21
Apr 05,320,297,8,23
Apr 06,350,323,9,27
Apr 07,396,358,11,38
Apr 08,457,418,12,39
Apr 09,515,472,15,43
Apr 10,564,498,15,66
Apr 11,620,527,16,93
Apr 12,669,559,18,110
Apr 13,726,584,21,142
Apr 14,766,613,21,153
Apr 15,814,639,24,175
Apr 16,862,664,27,198
Apr 17,923,700,31,223
Apr 18,986,727,32,259
Apr 19,1035,746,34,289
Apr 20,1087,766,36,321
Apr 21,1137,790,38,347
Apr 22,1189,808,40,381
Apr 23,1235,827,43,408
Apr 24,1285,820,49,465
Apr 25,1337,849,51,488
Apr 26,1369,814,54,555
Apr 27,1389,808,56,581
Apr 28,1437,804,58,633
Apr 29,1467,792,58,675
Apr 30,1501,759,61,742
May 01,1537,759,64,778
May 02,1611,780,66,831
May 03,1649,755,67,894
May 04,1668,723,69,945
May 05,1685,662,69,1023
May 06,1703,633,69,1070
May 07,1729,625,73,1104
May 08,1741,589,74,1152
May 09,1754,540,74,1214
May 10,1766,496,77,1270
May 11,1783,477,77,1306
May 12,1804,449,78,1355
May 13,1810,405,79,1405
May 14,1830,368,79,1462
May 15,1840,336,79,1504
May 16,1862,323,79,1539
May 17,1872,298,79,1574
May 18,1881,297,79,1584
May 19,1887,270,79,1617
May 20,1900,248,79,1652
May 21,1908,225,80,1683
May 22,1916,204,81,1712
May 23,1931,179,81,1752
May 24,1941,170,82,1771
May 25,1947,161,82,1786
May 26,1963,172,82,1791
May 27,1974,168,82,1806
May 28,1983,167,82,1816
May 29,2005,163,82,1842
May 30,2025,147,83,1878
May 31,2045,153,83,1892
Jun 01,2083,174,83,1909
Jun 02,2092,182,83,1910
Jun 03,2107,194,83,1913
Jun 04,2119,197,83,1922
Jun 05,2133,202,83,1931
Jun 06,2173,235,83,1938
Jun 07,2191,246,83,1945
Jun 08,2200,249,83,1951
Jun 09,2205,242,83,1963
Jun 10,2211,242,83,1969
Jun 11,2219,242,84,1977
Jun 12,2233,247,84,1986
Jun 13,2238,231,84,2007
