Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,1,1,0,0
Mar 20,1,1,0,0
Mar 21,1,1,0,0
Mar 22,2,2,0,0
Mar 23,3,3,0,0
Mar 24,3,3,0,0
Mar 25,7,6,1,1
Mar 26,10,9,1,1
Mar 27,10,9,1,1
Mar 28,10,9,1,1
Mar 29,18,17,1,1
Mar 30,27,24,3,3
Mar 31,34,31,3,3
Apr 01,74,69,5,5
Apr 02,98,93,5,5
Apr 03,120,115,5,5
Apr 04,144,136,8,8
Apr 05,184,161,10,23
Apr 06,253,217,10,36
Apr 07,278,241,11,37
Apr 08,342,303,11,39
Apr 09,410,359,11,51
Apr 10,438,386,11,52
Apr 11,491,439,11,52
Apr 12,529,442,12,87
Apr 13,548,449,13,99
Apr 14,570,466,14,104
Apr 15,584,480,14,104
Apr 16,584,480,14,104
Apr 17,627,499,18,128
Apr 18,639,507,19,132
Apr 19,648,511,20,137
Apr 20,648,511,20,137
Apr 21,657,510,20,147
Apr 22,662,447,22,215
Apr 23,671,391,24,280
Apr 24,681,368,24,313
Apr 25,684,332,27,352
Apr 26,696,317,29,379
Apr 27,701,287,29,414
Apr 28,709,275,31,434
Apr 29,713,246,32,467
Apr 30,719,235,32,484
May 01,728,217,33,511
May 02,736,194,35,542
May 03,750,196,36,554
May 04,755,184,37,571
May 05,763,182,38,581
May 06,770,171,38,599
May 07,781,153,42,628
May 08,795,151,44,644
May 09,815,153,45,662
May 10,821,151,46,670
May 11,832,149,46,683
May 12,854,159,47,695
May 13,860,153,49,707
May 14,876,149,50,727
May 15,885,150,51,735
May 16,889,149,51,740
May 17,904,152,54,752
May 18,909,140,55,769
May 19,914,125,55,789
May 20,920,124,58,796
May 21,924,111,60,813
May 22,937,113,60,824
May 23,943,107,61,836
May 24,945,101,61,844
May 25,951,103,62,848
May 26,952,93,63,859
May 27,952,93,63,859
May 28,955,88,64,867
May 29,955,78,64,877
May 30,956,74,64,882
May 31,958,55,64,903
Jun 01,958,49,65,909
Jun 02,960,47,65,913
Jun 03,961,39,65,922
Jun 04,963,38,65,925
Jun 05,966,38,65,928
Jun 06,970,38,65,932
Jun 07,973,41,65,932
Jun 08,973,39,65,934
Jun 09,974,38,65,936
Jun 10,974,33,65,941
Jun 11,974,31,65,943
Jun 12,978,32,65,946
Jun 13,980,33,66,947
Jun 14,980,29,66,951
Jun 15,980,29,66,951
Jun 16,1016,65,66,951
Jun 17,1020,60,67,960
Jun 18,1020,52,67,968
Jun 19,1020,52,67,968
Jun 20,1035,57,67,978
Jun 21,1036,58,67,978
Jun 22,1046,66,67,980
Jun 23,1051,71,67,980
Jun 24,1051,71,67,980
Jun 25,1056,72,67,984
Jun 26,1059,73,67,986
Jun 27,1062,71,67,991
Jun 28,1074,68,67,1006
Jun 29,1075,69,67,1006
Jun 30,1075,65,67,1010
Jul 01,1075,65,67,1010
Jul 02,1081,54,68,1027
Jul 03,1082,51,68,1031
Jul 04,1082,51,68,1031
Jul 05,1088,55,68,1033
Jul 06,1093,57,68,1036
Jul 07,1094,52,68,1042
Jul 08,1097,53,68,1044
Jul 09,1097,53,68,1044
Jul 10,1099,53,68,1046
Jul 11,1099,39,68,1060
Jul 12,1099,39,68,1060
Jul 13,1099,39,68,1060
Jul 14,1099,39,68,1060
Jul 15,1100,38,69,1062
Jul 16,1102,40,69,1062
Jul 17,1102,20,69,1082
Jul 18,1104,21,69,1083
Jul 19,1104,21,69,1083
Jul 20,1105,22,69,1083
Jul 21,1113,26,69,1087
Jul 22,1122,35,69,1087
Jul 23,1124,33,69,1091
Jul 24,1124,31,69,1093
Jul 25,1124,30,69,1094
Jul 26,1132,36,69,1096
Jul 27,1132,36,69,1096
Jul 28,1132,36,69,1096
Jul 29,1132,36,69,1096
Jul 30,1134,37,69,1097
Jul 31,1134,37,69,1097
Aug 01,1136,39,69,1097
Aug 02,1147,46,69,1101
Aug 03,1152,51,69,1101
Aug 04,1152,46,69,1106
Aug 05,1152,26,69,1126
Aug 06,1153,27,69,1126
Aug 07,1153,27,69,1126
Aug 08,1157,31,69,1126
Aug 09,1158,32,69,1126
Aug 10,1158,27,69,1131
Aug 11,1158,24,69,1134
Aug 12,1161,17,69,1144
Aug 13,1161,17,69,1144
Aug 14,1161,17,69,1144
Aug 15,1165,19,69,1146
Aug 16,1167,20,69,1147
Aug 17,1167,20,69,1147
Aug 18,1167,20,69,1147
Aug 19,1167,19,69,1148
Aug 20,1169,18,69,1151
