Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,1,1,0,0
Feb 29,1,1,0,0
Mar 01,1,1,0,0
Mar 02,1,1,0,0
Mar 03,4,4,0,0
Mar 04,6,6,0,0
Mar 05,6,6,0,0
Mar 06,6,6,0,0
Mar 07,6,6,0,0
Mar 08,6,6,0,0
Mar 09,6,6,0,0
Mar 10,9,6,0,3
Mar 11,9,6,0,3
Mar 12,21,18,0,3
Mar 13,27,24,0,3
Mar 14,27,24,0,3
Mar 15,27,24,0,3
Mar 16,36,33,0,3
Mar 17,36,33,0,3
Mar 18,51,46,0,5
Mar 19,51,46,0,5
Mar 20,69,54,0,15
Mar 21,76,61,0,15
Mar 22,76,61,0,15
Mar 23,81,59,0,22
Mar 24,81,59,0,22
Mar 25,86,57,0,29
Mar 26,86,57,0,29
Mar 27,94,62,0,32
Mar 28,94,62,0,32
Mar 29,94,62,0,32
Mar 30,152,120,0,32
Mar 31,152,104,1,48
Apr 01,163,108,2,55
Apr 02,304,247,4,57
Apr 03,351,294,4,57
Apr 04,440,382,5,58
Apr 05,562,502,8,60
Apr 06,700,634,13,66
Apr 07,861,794,13,67
Apr 08,1066,976,13,90
Apr 09,1486,1331,16,155
Apr 10,1981,1793,19,188
Apr 11,2226,2031,23,195
Apr 12,2578,2349,26,229
Apr 13,2919,2687,29,232
Apr 14,3281,3045,33,236
Apr 15,3728,3489,36,239
Apr 16,4204,3961,40,243
Apr 17,4779,4395,42,384
Apr 18,4779,4392,45,387
Apr 19,4779,4238,47,541
Apr 20,6264,5699,51,565
Apr 21,6723,6091,55,632
Apr 22,7281,6454,58,827
Apr 23,8022,7024,60,998
Apr 24,8773,7590,63,1183
Apr 25,9590,7950,67,1640
Apr 26,10463,8696,72,1767
Apr 27,11289,9474,75,1815
Apr 28,12208,10136,79,2072
Apr 29,13181,11025,84,2156
Apr 30,14027,11552,89,2475
May 01,14917,11906,93,3011
May 02,15828,12614,97,3214
May 03,16705,13410,99,3295
May 04,17489,14127,103,3362
May 05,18350,14472,107,3878
May 06,19255,14755,112,4500
May 07,20168,14985,116,5183
May 08,21101,15496,121,5605
May 09,22052,15876,126,6176
May 10,22973,16436,131,6537
May 11,23906,17240,135,6666
May 12,24873,17757,142,7116
May 13,25825,17968,146,7857
May 14,26772,18453,151,8319
May 15,27730,18767,156,8963
May 16,28681,19023,160,9658
May 17,29650,19553,165,10097
May 18,30572,20271,171,10301
May 19,31508,20713,175,10795
May 20,32426,20832,179,11594
May 21,33371,21129,185,12242
May 22,34303,21280,190,13023
May 23,35244,21522,194,13722
May 24,36198,21844,199,14354
May 25,37144,22491,204,14653
May 26,38059,22765,208,15294
May 27,38956,22819,214,16137
May 28,39858,22979,219,16879
May 29,40764,23150,224,17614
May 30,41658,23465,229,18193
May 31,42556,23807,235,18749
Jun 01,43403,24387,240,19016
Jun 02,44255,24817,243,19438
Jun 03,45116,24697,248,20419
Jun 04,45981,24566,253,21415
Jun 05,46868,24543,259,22325
Jun 06,47751,24473,263,23278
Jun 07,48630,24714,269,23916
Jun 08,49453,25297,276,24156
