Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,15,5,0,10
Feb 16,15,5,0,10
Feb 17,15,5,0,10
Feb 18,15,5,0,10
Feb 19,15,5,0,10
Feb 20,17,6,0,11
Feb 21,19,8,0,11
Feb 22,21,10,0,11
Feb 23,22,11,0,11
Feb 24,22,11,0,11
Feb 25,22,7,0,15
Feb 26,23,8,0,15
Feb 27,23,8,0,15
Feb 28,25,10,0,15
Feb 29,25,10,0,15
Mar 01,29,13,1,16
Mar 02,33,17,1,16
Mar 03,39,17,1,22
Mar 04,53,30,2,23
Mar 05,60,36,2,24
Mar 06,63,39,2,24
Mar 07,74,49,3,25
Mar 08,83,58,3,25
Mar 09,93,68,3,25
Mar 10,116,91,3,25
Mar 11,128,101,3,27
Mar 12,156,127,3,29
Mar 13,199,170,3,29
Mar 14,248,218,3,30
Mar 15,300,268,5,32
Mar 16,401,369,5,32
Mar 17,455,423,5,32
Mar 18,596,547,6,49
Mar 19,756,703,7,53
Mar 20,928,875,7,53
Mar 21,1072,1019,7,53
Mar 22,1609,1514,7,95
Mar 23,1887,1762,7,125
Mar 24,2317,2191,8,126
Mar 25,2676,2547,11,129
Mar 26,3050,2867,13,183
Mar 27,3378,3195,13,183
Mar 28,3635,3451,14,184
Mar 29,4163,3902,17,261
Mar 30,4460,4197,19,263
Mar 31,4763,4398,20,365
Apr 01,5048,4680,23,368
Apr 02,5314,4704,25,610
Apr 03,5454,4841,28,613
Apr 04,5550,4935,30,615
Apr 05,5750,4633,37,1117
Apr 06,5895,3418,45,2477
Apr 07,5988,3392,49,2596
Apr 08,6052,3189,50,2863
Apr 09,6152,3114,51,3038
Apr 10,6238,3043,54,3195
Apr 11,6303,2982,56,3321
Apr 12,6313,2916,59,3397
Apr 13,6359,2804,61,3555
Apr 14,6400,2741,61,3659
Apr 15,6447,2698,63,3749
Apr 16,6468,2658,63,3810
Apr 17,6533,2647,65,3886
Apr 18,6586,2349,70,4237
Apr 19,6612,2311,71,4301
Apr 20,6625,2296,71,4329
Apr 21,6645,1889,71,4756
Apr 22,6649,1655,74,4994
Apr 23,6667,1547,75,5120
Apr 24,6675,1460,79,5215
Apr 25,6695,1243,80,5452
Apr 26,6716,1073,83,5643
Apr 27,6720,1051,83,5669
Apr 28,6738,1024,88,5714
Apr 29,6746,990,89,5756
Apr 30,6754,947,92,5807
May 01,6767,929,93,5838
May 02,6781,899,93,5882
May 03,6801,889,95,5912
May 04,6825,871,95,5954
May 05,6849,864,96,5985
May 06,6875,794,97,6081
May 07,6896,759,97,6137
May 08,6914,738,97,6176
May 09,6929,697,97,6232
May 10,6941,681,97,6260
May 11,6948,672,97,6276
May 12,6964,638,97,6326
May 13,6980,611,98,6369
May 14,6989,590,98,6399
May 15,7019,584,98,6435
May 16,7036,576,98,6460
May 17,7045,580,98,6465
May 18,7060,569,99,6491
May 19,7068,555,100,6513
May 20,7079,535,100,6544
May 21,7081,509,100,6572
May 22,7095,515,101,6580
May 23,7111,515,102,6596
May 24,7114,504,102,6610
May 25,7118,485,102,6633
May 26,7133,478,102,6655
May 27,7139,470,103,6669
