Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,12,7,1,5
Feb 16,12,7,1,5
Feb 17,12,6,1,6
Feb 18,12,4,1,8
Feb 19,12,4,1,8
Feb 20,12,4,1,8
Feb 21,12,4,1,8
Feb 22,12,1,1,11
Feb 23,12,1,1,11
Feb 24,12,0,1,12
Feb 25,14,2,1,12
Feb 26,18,5,2,13
Feb 27,38,25,2,13
Feb 28,57,44,2,13
Feb 29,100,86,2,14
Mar 01,130,116,2,14
Mar 02,191,176,3,15
Mar 03,212,196,4,16
Mar 04,285,269,4,16
Mar 05,423,404,7,19
Mar 06,653,632,9,21
Mar 07,949,921,16,28
Mar 08,1209,1178,19,31
Mar 09,1412,1370,30,42
Mar 10,1784,1739,33,45
Mar 11,2281,2221,48,60
Mar 12,2876,2803,61,73
Mar 13,3661,3570,79,91
Mar 14,4499,4396,91,103
Mar 15,5423,5284,127,139
Mar 16,6633,6473,148,160
Mar 17,7730,6953,175,777
Mar 18,9134,8268,264,866
Mar 19,10995,9328,372,1667
Mar 20,12612,10575,450,2037
Mar 21,14459,12310,562,2149
Mar 22,16018,13144,674,2874
Mar 23,19856,16796,860,3060
Mar 24,22304,17923,1100,4381
Mar 25,25233,20002,1331,5231
Mar 26,29155,22511,1696,6644
Mar 27,32964,25269,1995,7695
Mar 28,37575,29561,2314,8014
Mar 29,40174,30366,2606,9808
Mar 30,44550,33599,3024,10951
Mar 31,52128,39162,3522,12966
Apr 01,56989,42024,4030,14965
Apr 02,59105,41293,5384,17812
Apr 03,64338,43827,6503,20511
Apr 04,68605,45612,7555,22993
Apr 05,70478,46223,8072,24255
Apr 06,74390,48236,8904,26154
Apr 07,78167,48510,10320,29657
Apr 08,82048,49934,10860,32114
Apr 09,86334,50929,12199,35405
Apr 10,90676,52559,13185,38117
Apr 11,93790,53580,13819,40210
Apr 12,95403,53837,14380,41566
Apr 13,98076,55404,14954,42672
Apr 14,103573,59053,15715,44520
Apr 15,106206,58099,17152,48107
Apr 16,108847,58131,17904,50716
Apr 17,109252,56168,18664,53084
