Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,2,2,0,0
Mar 08,4,4,0,0
Mar 09,4,4,0,0
Mar 10,6,6,0,0
Mar 11,7,6,1,1
Mar 12,23,22,1,1
Mar 13,31,30,1,1
Mar 14,41,39,2,2
Mar 15,51,49,2,2
Mar 16,62,60,2,2
Mar 17,81,79,2,2
Mar 18,92,90,2,2
Mar 19,107,104,3,3
Mar 20,127,123,3,4
Mar 21,163,157,3,6
Mar 22,187,181,3,6
Mar 23,201,195,3,6
Mar 24,218,212,3,6
Mar 25,242,235,3,7
Mar 26,264,253,3,11
Mar 27,293,281,3,12
Mar 28,331,313,7,18
Mar 29,346,324,8,22
Mar 30,359,334,8,25
Mar 31,399,374,8,25
Apr 01,422,392,10,30
Apr 02,457,422,10,35
Apr 03,485,441,14,44
Apr 04,503,452,17,51
Apr 05,531,474,20,57
Apr 06,549,488,22,61
Apr 07,577,512,23,65
Apr 08,593,527,24,66
Apr 09,618,546,24,72
Apr 10,635,556,25,79
Apr 11,661,571,28,90
Apr 12,675,578,29,97
Apr 13,685,582,32,103
Apr 14,713,597,35,116
Apr 15,747,606,36,141
Apr 16,800,640,38,160
Apr 17,846,664,41,182
Apr 18,878,684,41,194
Apr 19,894,691,42,203
Apr 20,929,719,43,210
Apr 21,975,760,45,215
Apr 22,1024,801,49,223
Apr 23,1097,855,52,242
Apr 24,1188,941,54,247
Apr 25,1247,995,55,252
Apr 26,1300,1039,56,261
Apr 27,1363,1099,58,264
Apr 28,1399,1119,58,280
Apr 29,1447,1140,64,307
Apr 30,1506,1174,66,332
May 01,1555,1211,68,344
May 02,1594,1235,72,359
May 03,1618,1237,73,381
May 04,1652,1253,78,399
May 05,1704,1282,80,422
May 06,1778,1334,84,444
May 07,1829,1361,84,468
May 08,1872,1385,86,487
May 09,1921,1409,90,512
May 10,1965,1430,91,535
May 11,1990,1436,93,554
May 12,2023,1452,95,571
May 13,2069,1474,96,595
May 14,2100,1470,99,630
May 15,2138,1491,102,647
May 16,2175,1497,105,678
May 17,2211,1505,108,706
May 18,2235,1513,110,722
May 19,2259,1501,112,758
May 20,2292,1492,116,800
May 21,2331,1484,120,847
May 22,2372,1478,125,894
May 23,2408,1474,126,934
May 24,2427,1457,130,970
May 25,2433,1441,130,992
May 26,2443,1433,130,1010
May 27,2460,1415,133,1045
May 28,2477,1378,134,1099
May 29,2485,1333,136,1152
May 30,2499,1296,139,1203
May 31,2513,1299,140,1214
Jun 01,2519,1289,140,1230
Jun 02,2538,1271,144,1267
Jun 03,2560,1208,146,1352
Jun 04,2586,1105,159,1481
Jun 05,2627,1078,159,1549
Jun 06,2668,963,160,1705
Jun 07,2727,1019,160,1708
Jun 08,2810,1059,164,1751
Jun 09,2889,1099,167,1790
Jun 10,2993,1162,167,1831
Jun 11,3086,1230,168,1856
Jun 12,3191,1303,172,1888
