Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,1,1,0,0
Feb 16,1,1,0,0
Feb 17,1,1,0,0
Feb 18,1,1,0,0
Feb 19,1,1,0,0
Feb 20,1,0,0,1
Feb 21,1,0,0,1
Feb 22,1,0,0,1
Feb 23,1,0,0,1
Feb 24,1,0,0,1
Feb 25,1,0,0,1
Feb 26,1,0,0,1
Feb 27,1,0,0,1
Feb 28,1,0,0,1
Feb 29,1,0,0,1
Mar 01,2,1,0,1
Mar 02,2,1,0,1
Mar 03,2,1,0,1
Mar 04,2,1,0,1
Mar 05,3,2,0,1
Mar 06,15,14,0,1
Mar 07,48,47,0,1
Mar 08,55,53,1,2
Mar 09,59,57,1,2
Mar 10,59,32,1,27
Mar 11,67,39,1,28
Mar 12,80,51,2,29
Mar 13,93,64,2,29
Mar 14,110,81,2,29
Mar 15,126,92,2,34
Mar 16,166,130,4,36
Mar 17,196,164,6,32
Mar 18,210,176,6,34
Mar 19,256,207,7,49
Mar 20,285,235,8,50
Mar 21,294,242,10,52
Mar 22,327,257,14,70
Mar 23,366,279,19,87
Mar 24,402,302,20,100
Mar 25,456,340,21,116
Mar 26,495,369,24,126
Mar 27,536,390,30,146
Mar 28,576,419,36,157
Mar 29,609,437,40,172
Mar 30,656,465,41,191
Mar 31,710,507,46,203
Apr 01,779,548,52,231
Apr 02,865,606,58,259
Apr 03,985,703,66,282
Apr 04,1070,758,71,312
Apr 05,1173,848,78,325
Apr 06,1322,978,85,344
Apr 07,1450,1080,94,370
Apr 08,1560,1152,103,408
Apr 09,1699,1233,118,466
Apr 10,1794,1275,135,519
Apr 11,1939,1367,146,572
Apr 12,2065,1317,159,748
Apr 13,2190,1437,164,753
Apr 14,2350,1583,178,767
Apr 15,2505,1733,183,772
Apr 16,2673,1881,196,792
Apr 17,2844,1993,205,851
Apr 18,3032,2107,224,925
Apr 19,3144,2173,239,971
Apr 20,3333,2262,250,1071
Apr 21,3490,2356,264,1134
Apr 22,3659,2448,276,1211
Apr 23,3891,2600,287,1291
Apr 24,4092,2723,294,1369
Apr 25,4319,2898,307,1421
Apr 26,4534,3041,317,1493
Apr 27,4782,3209,337,1573
Apr 28,5042,3379,359,1663
Apr 29,5268,3553,380,1715
Apr 30,5537,3764,392,1773
May 01,5895,4029,406,1866
May 02,6193,4256,415,1937
May 03,6465,4474,429,1991
May 04,6813,4745,436,2068
May 05,7201,5019,452,2182
May 06,7588,5304,469,2284
May 07,7981,5612,482,2369
May 08,8476,6028,503,2448
May 09,8964,6448,514,2516
May 10,9400,6800,525,2600
May 11,9746,7041,533,2705
May 12,10093,7223,544,2870
May 13,10431,7389,556,3042
May 14,10829,7632,571,3197
May 15,11228,7837,592,3391
May 16,11719,8157,612,3562
May 17,12229,8427,630,3802
May 18,12764,8679,645,4085
May 19,13484,9083,659,4401
May 20,14229,9555,680,4674
May 21,15003,10090,696,4913
May 22,15786,10705,707,5081
May 23,16513,11150,735,5363
May 24,17265,11694,764,5571
May 25,17967,12284,783,5683
May 26,18756,12932,797,5824
May 27,19666,13645,816,6021
May 28,20793,14589,845,6204
May 29,22082,15692,879,6390
May 30,23449,16843,913,6606
May 31,24985,17989,959,6996
Jun 01,26384,18932,1005,7452
Jun 02,27536,19657,1052,7879
Jun 03,28615,20177,1088,8438
Jun 04,29767,20885,1126,8882
Jun 05,31115,21791,1166,9324
Jun 06,32612,22876,1198,9736
Jun 07,34079,23881,1237,10198
Jun 08,35444,24798,1271,10646
Jun 09,36829,25737,1306,11092
Jun 10,38284,26653,1342,11631
Jun 11,39726,27658,1377,12068
Jun 12,41303,28773,1422,12530
Jun 13,42980,29967,1484,13013
Jun 14,44598,31092,1575,13506
Jun 15,46289,32288,1672,14001
Jun 16,47856,33360,1766,14496
Jun 17,49219,34228,1850,14991
Jun 18,50437,34971,1938,15466
Jun 19,52211,36266,2017,15945
Jun 20,53758,37325,2106,16433
Jun 21,55233,38304,2193,16929
Jun 22,56809,39398,2278,17411
Jun 23,58141,40241,2365,17900
Jun 24,59561,41176,2450,18385
Jun 25,61130,42259,2533,18871
Jun 26,62755,43398,2620,19357
Jun 27,63923,44075,2708,19848
Jun 28,65188,44860,2789,20328
Jun 29,66754,45931,2872,20823
Jun 30,68311,46898,2953,21413
Jul 01,69814,47899,3034,21915
Jul 02,71299,48891,3120,22408
Jul 03,72711,49820,3201,22891
Jul 04,74035,50652,3280,23383
Jul 05,75253,51184,3343,24069
Jul 06,76222,51562,3422,24660
Jul 07,77279,52072,3489,25207
Jul 08,78304,52499,3564,25805
Jul 09,79254,52884,3617,26370
Jul 10,80235,53259,3702,26976
Jul 11,81158,53513,3769,27645
Jul 12,82070,53793,3858,28277
Jul 13,83001,54091,3935,28910
Jul 14,83930,54378,4008,29552
Jul 15,84843,54641,4067,30202
Jul 16,85771,54960,4120,30811
Jul 17,86474,54984,4188,31490
Jul 18,87172,55053,4251,32119
Jul 19,87775,55093,4302,32682
Jul 20,88402,55126,4352,33276
Jul 21,89078,55206,4399,33872
Jul 22,89745,55230,4440,34515
Jul 23,90413,54867,4480,35546
Jul 24,91072,54584,4518,36488
Jul 25,91583,54122,4558,37461
Jul 26,92062,53625,4606,38437
Jul 27,92482,52992,4652,39490
Jul 28,92947,52297,4691,40650
Jul 29,93356,51603,4728,41753
Jul 30,93757,50747,4774,43010
Jul 31,94078,49635,4805,44443
